epoch,set,our_loss,their_loss,acc
1,train,0.9758845316736322,0.9716591756594809,0.51968846749226
1,valid,1.178535372018814,1.178535357117653,0.34765625
2,train,0.7976041796960329,0.793219119310379,0.6233068885448917
2,valid,1.2622976824641228,1.2622976303100586,0.3125
3,train,0.6583849599486903,0.6519180849978798,0.760061919504644
3,valid,1.2403865531086922,1.2403865158557892,0.34765625
4,train,0.5903578259442982,0.581664292435897,0.796342879256966
4,valid,1.327963676303625,1.327963650226593,0.3872395833333333
5,train,0.5411306686307255,0.5336654935228197,0.8332527089783281
5,valid,1.1114417612552643,1.1114417240023613,0.4692708333333333
6,train,0.5207655645514789,0.511438937955781,0.8258513931888545
6,valid,0.9623199999332428,0.9623199589550495,0.4263020833333333
7,train,0.4756545969530156,0.46676514572218847,0.8500870743034056
7,valid,0.9959469586610794,0.9959470219910145,0.60625
8,train,0.4331175488860984,0.4218802967746007,0.8660506965944271
8,valid,1.065970204770565,1.0659702308475971,0.6174479166666667
9,train,0.3589860467534316,0.3488245067235671,0.8893672600619196
9,valid,1.0762155279517174,1.0762155316770077,0.43359375
10,train,0.36165352597048406,0.3507442348881772,0.8859810371517027
10,valid,1.0597305204719305,1.0597305186092854,0.44921875
11,train,0.323845822168024,0.3129802088400251,0.9005901702786376
11,valid,1.0038512125611305,1.003851255401969,0.47265625
12,train,0.30684282983604233,0.29739211470280824,0.8988970588235293
12,valid,0.816710501909256,0.8167104870080948,0.6791666666666667
13,train,0.29210341859020683,0.28340172686761145,0.9240034829721362
13,valid,1.3544826563447714,1.3544826386496425,0.4921875
14,train,0.3145624412909934,0.30576334344713313,0.9031540247678018
14,valid,0.876742335036397,0.8767423443496227,0.65234375
15,train,0.31669407337903976,0.30589694686626134,0.9098297213622291
15,valid,1.2158775851130486,1.215877503156662,0.65234375
16,train,0.33482544437835093,0.32443446813053206,0.9063467492260061
16,valid,0.9944892711937428,0.9944892823696136,0.6640625
17,train,0.38557111687566104,0.3754296432200231,0.894107972136223
17,valid,1.2905452474951744,1.2905452251434326,0.6145833333333333
18,train,0.4005698940079463,0.3873073066535749,0.8761126160990711
18,valid,1.1765658743679523,1.1765658855438232,0.6635416666666667
19,train,0.32196101722748655,0.30876090230518266,0.9050890092879257
19,valid,1.8167786309495568,1.8167787049897015,0.41796875
20,train,0.23959684077846377,0.22912058322445342,0.9408862229102166
20,valid,1.4875222016125917,1.4875222407281399,0.6674479166666667
21,train,0.3228196238020533,0.30979530106445674,0.8989454334365324
21,valid,1.3709189519286156,1.3709189966320992,0.6229166666666667
22,train,0.3373106592579892,0.3232599999755621,0.9106520897832816
22,valid,1.0213762382045388,1.0213762065395713,0.61015625
23,train,0.26706067511909887,0.2544566118403485,0.9303889318885448
23,valid,1.3647854151204228,1.3647855119779706,0.48046875
24,train,0.27500020879271786,0.2633217169265998,0.9187790247678018
24,valid,1.1525069680064917,1.1525069288909435,0.6596354166666667
25,train,0.22853427713638857,0.2174785810669786,0.9302921826625387
25,valid,0.8240709062665701,0.8240708434022963,0.678125
26,train,0.2632116130308101,0.2519750108844356,0.9252612229102166
26,valid,1.4157482162117958,1.4157481975853443,0.46484375
27,train,0.2128760937209192,0.20224104599880152,0.9333881578947368
27,valid,2.8423644121503457,2.8423644735012203,0.4140625
28,train,0.30955765964953524,0.26781419615604374,0.921875
28,valid,1.425526225939393,1.4255262538790703,0.453125
29,train,0.30178575854944556,0.25608139813534525,0.9226973684210527
29,valid,1.2049285136163235,1.204928451217711,0.6106770833333333
30,train,0.2568688366169992,0.22160077443052278,0.9384191176470588
30,valid,1.3632619697600603,1.3632620479911566,0.6557291666666667
31,train,0.2398530090913961,0.21174877560942582,0.938515866873065
31,valid,1.5571109224110842,1.5571109219454229,0.62109375
32,train,0.22475925695739293,0.2009507207886169,0.9344040247678018
32,valid,0.910786007065326,0.9107860056683421,0.5940104166666667
33,train,0.20782754540835557,0.18817173214139124,0.940063854489164
33,valid,1.414700168184936,1.4147000946104527,0.6635416666666667
34,train,0.22604670512833094,0.20796081068386374,0.9419020897832816
34,valid,1.0573298865929246,1.0573299853131175,0.62890625
35,train,0.19159776472339504,0.17460287465272764,0.9508513931888545
35,valid,1.4198649255558848,1.4198648827150464,0.69921875
36,train,0.24556945774116015,0.23053923832546724,0.9350328947368421
36,valid,1.32058099610731,1.3205810855142772,0.40234375
37,train,0.257438264983265,0.24388073767094234,0.9203270123839008
37,valid,0.8081023888662457,0.8081024512648582,0.7807291666666667
38,train,0.19727778488672093,0.18533862615004182,0.9350328947368421
38,valid,1.3124675154685974,1.3124675191938877,0.6791666666666667
39,train,0.15739175598872335,0.14770530750607386,0.953125
39,valid,0.6643639886751771,0.6643639849498868,0.7182291666666667
40,train,0.21136401917197203,0.19903115089982748,0.9441756965944271
40,valid,0.953850255580619,0.9538502329960465,0.60546875
41,train,0.16916790021289335,0.15602425191747515,0.9499322755417956
41,valid,1.008545720600523,1.008545735210646,0.5
42,train,0.2124283039256146,0.19887699172096818,0.9375
42,valid,1.805201369104907,1.8052013837732375,0.41796875
43,train,0.2319179614515681,0.21707365671662907,0.9239067337461301
43,valid,1.2426650477573276,1.2426649737171829,0.453125
44,train,0.2567605604662707,0.2292137624891965,0.9295665634674922
44,valid,2.036210518446751,2.0362106079119258,0.4375
45,train,0.18634255259836974,0.16648690498090887,0.9540441176470588
45,valid,1.761970686726272,1.7619707309640944,0.41015625
46,train,0.15696709774630635,0.14189228138543272,0.9564144736842105
46,valid,1.4479991346597672,1.4479991270927712,0.4609375
47,train,0.14480801201180407,0.1306893803779722,0.9539473684210527
47,valid,1.8464418681105599,1.846441853325814,0.42578125
48,train,0.24681109709567145,0.22164447184063887,0.9277283281733745
48,valid,1.3056097561493516,1.3056096248328686,0.66796875
49,train,0.21803006902337074,0.1880266065464208,0.9386126160990711
49,valid,0.8301634006202221,0.8301633698865771,0.7104166666666667
50,train,0.19827920561166187,0.17576304754536404,0.9555921052631579
50,valid,1.898145483341068,1.8981455131433904,0.4375
